target,label,layer,depth_heads,depth_decoder,r2,sigma_nmad,n_train,n_test
sps:logzsol,logzsol,z_head_hidden,0.8571428571428571,0.75,0.5166544361588927,,50000,17278
sps:logzsol,logzsol,z_out,1.0,,-0.005517508008665795,,50000,17278
sps:logzsol,logzsol,mu_15,1.0,0.75,0.9989691987080221,,50000,17278
sps:logzsol,logzsol,log_spec,,0.875,0.9953816873658614,,50000,17278
sps:logzsol,logzsol,m_ab_recon,,1.0,0.6769212798645998,,50000,17278
sps:dust2,dust2,x,0.0,0.0,0.29187885173255335,,50000,17278
sps:dust2,dust2,h0,0.14285714285714285,0.125,0.48956476985982056,,50000,17278
sps:dust2,dust2,h1_mid,0.2857142857142857,0.25,0.7553127027693425,,50000,17278
sps:dust2,dust2,h1,0.42857142857142855,0.375,0.7768645753914731,,50000,17278
sps:dust2,dust2,h2_mid,0.5714285714285714,0.5,0.809684231863876,,50000,17278
sps:dust2,dust2,h2,0.7142857142857143,0.625,0.9410947842069801,,50000,17278
sps:dust2,dust2,z_head_hidden,0.8571428571428571,0.75,0.6793992974286367,,50000,17278
sps:dust2,dust2,z_out,1.0,,-0.08315985743639676,,50000,17278
sps:dust2,dust2,mu_15,1.0,0.75,0.9929331451171153,,50000,17278
sps:dust2,dust2,log_spec,,0.875,0.9982283758125241,,50000,17278
sps:dust2,dust2,m_ab_recon,,1.0,0.636238822946464,,50000,17278
sps:dust1_fraction,dust1_fraction,x,0.0,0.0,0.335372120446465,,50000,17278
sps:dust1_fraction,dust1_fraction,h0,0.14285714285714285,0.125,0.45822670421595824,,50000,17278
sps:dust1_fraction,dust1_fraction,h1_mid,0.2857142857142857,0.25,0.6468699993152887,,50000,17278
sps:dust1_fraction,dust1_fraction,h1,0.42857142857142855,0.375,0.6356313566991495,,50000,17278
sps:dust1_fraction,dust1_fraction,h2_mid,0.5714285714285714,0.5,0.7801899302233911,,50000,17278
sps:dust1_fraction,dust1_fraction,h2,0.7142857142857143,0.625,0.8984774750595456,,50000,17278
sps:dust1_fraction,dust1_fraction,z_head_hidden,0.8571428571428571,0.75,0.7524183905222341,,50000,17278
sps:dust1_fraction,dust1_fraction,z_out,1.0,,0.4765650630081474,,50000,17278
sps:dust1_fraction,dust1_fraction,mu_15,1.0,0.75,0.9998045004715813,,50000,17278
sps:dust1_fraction,dust1_fraction,log_spec,,0.875,0.8188835989714208,,50000,17278
sps:dust1_fraction,dust1_fraction,m_ab_recon,,1.0,0.5344622755399022,,50000,17278
sps:dust_index,dust_index,x,0.0,0.0,0.5805163885845275,,50000,17278
sps:dust_index,dust_index,h0,0.14285714285714285,0.125,0.7737692432943164,,50000,17278
sps:dust_index,dust_index,h1_mid,0.2857142857142857,0.25,0.8883938640163158,,50000,17278
sps:dust_index,dust_index,h1,0.42857142857142855,0.375,0.9114586388946566,,50000,17278
sps:dust_index,dust_index,h2_mid,0.5714285714285714,0.5,0.8814853361702464,,50000,17278
sps:dust_index,dust_index,h2,0.7142857142857143,0.625,0.9632654497249805,,50000,17278
sps:dust_index,dust_index,z_head_hidden,0.8571428571428571,0.75,0.5620264263128998,,50000,17278
sps:dust_index,dust_index,z_out,1.0,,0.05590279416393884,,50000,17278
sps:dust_index,dust_index,mu_15,1.0,0.75,0.9503646710922846,,50000,17278
sps:dust_index,dust_index,log_spec,,0.875,0.9994192857790244,,50000,17278
sps:dust_index,dust_index,m_ab_recon,,1.0,0.8073822716822804,,50000,17278
sps:gas_logz,gas_logz,x,0.0,0.0,0.15769383523324398,,50000,17278
sps:gas_logz,gas_logz,h0,0.14285714285714285,0.125,0.42157182192137055,,50000,17278
sps:gas_logz,gas_logz,h1_mid,0.2857142857142857,0.25,0.5748868596626147,,50000,17278
sps:gas_logz,gas_logz,h1,0.42857142857142855,0.375,0.5792751784936636,,50000,17278
sps:gas_logz,gas_logz,h2_mid,0.5714285714285714,0.5,0.6106517329433403,,50000,17278
sps:gas_logz,gas_logz,h2,0.7142857142857143,0.625,0.7604140728668143,,50000,17278
sps:gas_logz,gas_logz,z_head_hidden,0.8571428571428571,0.75,0.7820530164487032,,50000,17278
sps:gas_logz,gas_logz,z_out,1.0,,0.5941838245761023,,50000,17278
sps:gas_logz,gas_logz,mu_15,1.0,0.75,0.9998907643079336,,50000,17278
sps:gas_logz,gas_logz,log_spec,,0.875,0.916384463214671,,50000,17278
sps:gas_logz,gas_logz,m_ab_recon,,1.0,0.40822931237925153,,50000,17278
sps:fagn,fagn,x,0.0,0.0,0.3247242315827431,,50000,17278
sps:fagn,fagn,h0,0.14285714285714285,0.125,0.35740870234321853,,50000,17278
sps:fagn,fagn,h1_mid,0.2857142857142857,0.25,0.6107109465583871,,50000,17278
sps:fagn,fagn,h1,0.42857142857142855,0.375,0.628302351835605,,50000,17278
sps:fagn,fagn,h2_mid,0.5714285714285714,0.5,0.6749928366590937,,50000,17278
sps:fagn,fagn,h2,0.7142857142857143,0.625,0.8029495427671742,,50000,17278
sps:fagn,fagn,z_head_hidden,0.8571428571428571,0.75,0.7547909134233607,,50000,17278
sps:fagn,fagn,z_out,1.0,,0.47774561450269903,,50000,17278
sps:fagn,fagn,mu_15,1.0,0.75,0.9689981111373857,,50000,17278
sps:fagn,fagn,log_spec,,0.875,0.8835773515574916,,50000,17278
sps:fagn,fagn,m_ab_recon,,1.0,0.5203093330294857,,50000,17278
sps:agn_tau,agn_tau,x,0.0,0.0,-0.14451607564701474,,50000,17278
sps:agn_tau,agn_tau,h0,0.14285714285714285,0.125,0.1460928974887825,,50000,17278
sps:agn_tau,agn_tau,h1_mid,0.2857142857142857,0.25,0.5275637637943302,,50000,17278
sps:agn_tau,agn_tau,h1,0.42857142857142855,0.375,0.6385155153674589,,50000,17278
sps:agn_tau,agn_tau,h2_mid,0.5714285714285714,0.5,0.6740813476390688,,50000,17278
sps:agn_tau,agn_tau,h2,0.7142857142857143,0.625,0.9414322785156847,,50000,17278
sps:agn_tau,agn_tau,z_head_hidden,0.8571428571428571,0.75,0.5892964991461132,,50000,17278
sps:agn_tau,agn_tau,z_out,1.0,,0.2939218284410191,,50000,17278
sps:agn_tau,agn_tau,mu_15,1.0,0.75,0.9997991367201404,,50000,17278
sps:agn_tau,agn_tau,log_spec,,0.875,0.7746674955600406,,50000,17278
sps:agn_tau,agn_tau,m_ab_recon,,1.0,0.0651633165037292,,50000,17278
sps:igm_scale,igm_scale,x,0.0,0.0,0.1063926949943923,,50000,17278
sps:igm_scale,igm_scale,h0,0.14285714285714285,0.125,0.20901905322725478,,50000,17278
sps:igm_scale,igm_scale,h1_mid,0.2857142857142857,0.25,0.400060788694932,,50000,17278
sps:igm_scale,igm_scale,h1,0.42857142857142855,0.375,0.38716492652125245,,50000,17278
sps:igm_scale,igm_scale,h2_mid,0.5714285714285714,0.5,0.5332376253245182,,50000,17278
sps:igm_scale,igm_scale,h2,0.7142857142857143,0.625,0.5627656207360099,,50000,17278
sps:igm_scale,igm_scale,z_head_hidden,0.8571428571428571,0.75,0.8019974489140682,,50000,17278
sps:igm_scale,igm_scale,z_out,1.0,,0.6000235445354256,,50000,17278
sps:igm_scale,igm_scale,mu_15,1.0,0.75,0.9895556992151368,,50000,17278
sps:igm_scale,igm_scale,log_spec,,0.875,0.9040501045565471,,50000,17278
sps:igm_scale,igm_scale,m_ab_recon,,1.0,0.4965685268714829,,50000,17278
sps:logsfr_ratios_0,logsfr_ratios_0,x,0.0,0.0,0.488761722443245,,50000,17278
sps:logsfr_ratios_0,logsfr_ratios_0,h0,0.14285714285714285,0.125,0.5912510368490682,,50000,17278
sps:logsfr_ratios_0,logsfr_ratios_0,h1_mid,0.2857142857142857,0.25,0.8024955892015248,,50000,17278
sps:logsfr_ratios_0,logsfr_ratios_0,h1,0.42857142857142855,0.375,0.8596432846367434,,50000,17278
sps:logsfr_ratios_0,logsfr_ratios_0,h2_mid,0.5714285714285714,0.5,0.8226886856986516,,50000,17278
sps:logsfr_ratios_0,logsfr_ratios_0,h2,0.7142857142857143,0.625,0.9945108824652119,,50000,17278
sps:logsfr_ratios_0,logsfr_ratios_0,z_head_hidden,0.8571428571428571,0.75,0.7679653787154374,,50000,17278
sps:logsfr_ratios_0,logsfr_ratios_0,z_out,1.0,,0.2559893113985786,,50000,17278
sps:logsfr_ratios_0,logsfr_ratios_0,mu_15,1.0,0.75,0.995604317444626,,50000,17278
sps:logsfr_ratios_0,logsfr_ratios_0,log_spec,,0.875,0.9948132413112653,,50000,17278
sps:logsfr_ratios_0,logsfr_ratios_0,m_ab_recon,,1.0,0.6271865224842201,,50000,17278
sps:logsfr_ratios_1,logsfr_ratios_1,x,0.0,0.0,0.3835926435433139,,50000,17278
sps:logsfr_ratios_1,logsfr_ratios_1,h0,0.14285714285714285,0.125,0.6603387179448923,,50000,17278
sps:logsfr_ratios_1,logsfr_ratios_1,h1_mid,0.2857142857142857,0.25,0.8064646598015959,,50000,17278
sps:logsfr_ratios_1,logsfr_ratios_1,h1,0.42857142857142855,0.375,0.8767091944979628,,50000,17278
sps:logsfr_ratios_1,logsfr_ratios_1,h2_mid,0.5714285714285714,0.5,0.9101946650658157,,50000,17278
sps:logsfr_ratios_1,logsfr_ratios_1,h2,0.7142857142857143,0.625,0.9734258116444364,,50000,17278
sps:logsfr_ratios_1,logsfr_ratios_1,z_head_hidden,0.8571428571428571,0.75,0.9422854741282964,,50000,17278
sps:logsfr_ratios_1,logsfr_ratios_1,z_out,1.0,,0.628999357415361,,50000,17278
sps:logsfr_ratios_1,logsfr_ratios_1,mu_15,1.0,0.75,0.9892927550792435,,50000,17278
sps:logsfr_ratios_1,logsfr_ratios_1,log_spec,,0.875,0.9993795135196398,,50000,17278
sps:logsfr_ratios_1,logsfr_ratios_1,m_ab_recon,,1.0,0.695489120269407,,50000,17278
sps:logsfr_ratios_2,logsfr_ratios_2,x,0.0,0.0,0.42372562622168797,,50000,17278
sps:logsfr_ratios_2,logsfr_ratios_2,h0,0.14285714285714285,0.125,0.6041923597807249,,50000,17278
sps:logsfr_ratios_2,logsfr_ratios_2,h1_mid,0.2857142857142857,0.25,0.832973011861638,,50000,17278
sps:logsfr_ratios_2,logsfr_ratios_2,h1,0.42857142857142855,0.375,0.8787380593930572,,50000,17278
sps:logsfr_ratios_2,logsfr_ratios_2,h2_mid,0.5714285714285714,0.5,0.859326318687587,,50000,17278
