target,label,layer,depth_heads,depth_decoder,r2,sigma_nmad,n_train,n_test
sps:logzsol,logzsol,z_head_hidden,0.8571428571428571,0.75,0.7097527970942421,,50000,17278
sps:logzsol,logzsol,z_out,1.0,,0.16180826102559098,,50000,17278
sps:logzsol,logzsol,mu_15,1.0,0.75,0.9986350073928937,,50000,17278
sps:logzsol,logzsol,log_spec,,0.875,0.9973865955763608,,50000,17278
sps:logzsol,logzsol,m_ab_recon,,1.0,0.6281825287389395,,50000,17278
sps:dust2,dust2,x,0.0,0.0,0.35075666956852336,,50000,17278
sps:dust2,dust2,h0,0.14285714285714285,0.125,0.5858454055531397,,50000,17278
sps:dust2,dust2,h1_mid,0.2857142857142857,0.25,0.8067678290839981,,50000,17278
sps:dust2,dust2,h1,0.42857142857142855,0.375,0.8453412205428037,,50000,17278
sps:dust2,dust2,h2_mid,0.5714285714285714,0.5,0.9224953000123807,,50000,17278
sps:dust2,dust2,h2,0.7142857142857143,0.625,0.9638506422504641,,50000,17278
sps:dust2,dust2,z_head_hidden,0.8571428571428571,0.75,0.9513746107138307,,50000,17278
sps:dust2,dust2,z_out,1.0,,0.9310813581053339,,50000,17278
sps:dust2,dust2,mu_15,1.0,0.75,0.9987927991666644,,50000,17278
sps:dust2,dust2,log_spec,,0.875,0.9997030900760426,,50000,17278
sps:dust2,dust2,m_ab_recon,,1.0,0.7127717570010283,,50000,17278
sps:dust1_fraction,dust1_fraction,x,0.0,0.0,0.3569736502842785,,50000,17278
sps:dust1_fraction,dust1_fraction,h0,0.14285714285714285,0.125,0.6064601903746201,,50000,17278
sps:dust1_fraction,dust1_fraction,h1_mid,0.2857142857142857,0.25,0.8355451103681785,,50000,17278
sps:dust1_fraction,dust1_fraction,h1,0.42857142857142855,0.375,0.884593889565989,,50000,17278
sps:dust1_fraction,dust1_fraction,h2_mid,0.5714285714285714,0.5,0.937012833200877,,50000,17278
sps:dust1_fraction,dust1_fraction,h2,0.7142857142857143,0.625,0.9834501842794988,,50000,17278
sps:dust1_fraction,dust1_fraction,z_head_hidden,0.8571428571428571,0.75,0.7308150046768793,,50000,17278
sps:dust1_fraction,dust1_fraction,z_out,1.0,,0.6092972750012833,,50000,17278
sps:dust1_fraction,dust1_fraction,mu_15,1.0,0.75,0.9998907398005237,,50000,17278
sps:dust1_fraction,dust1_fraction,log_spec,,0.875,0.9929486689187597,,50000,17278
sps:dust1_fraction,dust1_fraction,m_ab_recon,,1.0,0.5804626841636367,,50000,17278
sps:dust_index,dust_index,x,0.0,0.0,0.44405162627791983,,50000,17278
sps:dust_index,dust_index,h0,0.14285714285714285,0.125,0.6062054276800339,,50000,17278
sps:dust_index,dust_index,h1_mid,0.2857142857142857,0.25,0.8418690985729576,,50000,17278
sps:dust_index,dust_index,h1,0.42857142857142855,0.375,0.8804039231978765,,50000,17278
sps:dust_index,dust_index,h2_mid,0.5714285714285714,0.5,0.9342166289086615,,50000,17278
sps:dust_index,dust_index,h2,0.7142857142857143,0.625,0.976880292936797,,50000,17278
sps:dust_index,dust_index,z_head_hidden,0.8571428571428571,0.75,0.9513996881946427,,50000,17278
sps:dust_index,dust_index,z_out,1.0,,0.9055858522564569,,50000,17278
sps:dust_index,dust_index,mu_15,1.0,0.75,0.9944017584603498,,50000,17278
sps:dust_index,dust_index,log_spec,,0.875,0.9999821397861298,,50000,17278
sps:dust_index,dust_index,m_ab_recon,,1.0,0.8143790095670738,,50000,17278
sps:gas_logz,gas_logz,x,0.0,0.0,0.19897589779186609,,50000,17278
sps:gas_logz,gas_logz,h0,0.14285714285714285,0.125,0.5841323637245615,,50000,17278
sps:gas_logz,gas_logz,h1_mid,0.2857142857142857,0.25,0.8241769286487008,,50000,17278
sps:gas_logz,gas_logz,h1,0.42857142857142855,0.375,0.8536956422094253,,50000,17278
sps:gas_logz,gas_logz,h2_mid,0.5714285714285714,0.5,0.9202319993750421,,50000,17278
sps:gas_logz,gas_logz,h2,0.7142857142857143,0.625,0.9687004747396784,,50000,17278
sps:gas_logz,gas_logz,z_head_hidden,0.8571428571428571,0.75,0.8694845868008501,,50000,17278
sps:gas_logz,gas_logz,z_out,1.0,,0.7551509528705332,,50000,17278
sps:gas_logz,gas_logz,mu_15,1.0,0.75,0.9992478000517396,,50000,17278
sps:gas_logz,gas_logz,log_spec,,0.875,0.9939352203888489,,50000,17278
sps:gas_logz,gas_logz,m_ab_recon,,1.0,0.48797616724989834,,50000,17278
sps:fagn,fagn,x,0.0,0.0,0.5561311224420096,,50000,17278
