target,label,layer,depth_heads,depth_decoder,r2,sigma_nmad,n_train,n_test
sps:logzsol,logzsol,z_head_hidden,0.8571428571428571,0.75,0.680175317927857,,6101,2905
sps:logzsol,logzsol,z_out,1.0,,0.43316318386021724,,6101,2905
sps:logzsol,logzsol,mu_15,1.0,0.75,0.914916364722433,,6101,2905
sps:logzsol,logzsol,log_spec,,0.875,0.9970333574783902,,6101,2905
sps:logzsol,logzsol,m_ab_recon,,1.0,0.6438887860785777,,6101,2905
sps:dust2,dust2,x,0.0,0.0,0.5155253683693097,,6101,2905
sps:dust2,dust2,h0,0.14285714285714285,0.125,0.8289761757027991,,6101,2905
sps:dust2,dust2,h1_mid,0.2857142857142857,0.25,0.9175905564618161,,6101,2905
sps:dust2,dust2,h1,0.42857142857142855,0.375,0.9441135175546621,,6101,2905
sps:dust2,dust2,h2_mid,0.5714285714285714,0.5,0.8747489568855042,,6101,2905
sps:dust2,dust2,h2,0.7142857142857143,0.625,0.8563239958516138,,6101,2905
sps:dust2,dust2,z_head_hidden,0.8571428571428571,0.75,0.7211686421921762,,6101,2905
sps:dust2,dust2,z_out,1.0,,0.30007047892485794,,6101,2905
sps:dust2,dust2,mu_15,1.0,0.75,0.9978488951281891,,6101,2905
sps:dust2,dust2,log_spec,,0.875,0.987860953684638,,6101,2905
sps:dust2,dust2,m_ab_recon,,1.0,0.5445351830084051,,6101,2905
sps:dust1_fraction,dust1_fraction,x,0.0,0.0,0.06809106499421502,,6101,2905
sps:dust1_fraction,dust1_fraction,h0,0.14285714285714285,0.125,0.062228647491972544,,6101,2905
sps:dust1_fraction,dust1_fraction,h1_mid,0.2857142857142857,0.25,0.345466416545434,,6101,2905
sps:dust1_fraction,dust1_fraction,h1,0.42857142857142855,0.375,0.3203261619072937,,6101,2905
sps:dust1_fraction,dust1_fraction,h2_mid,0.5714285714285714,0.5,0.4202332851091577,,6101,2905
sps:dust1_fraction,dust1_fraction,h2,0.7142857142857143,0.625,0.5115601599480227,,6101,2905
sps:dust1_fraction,dust1_fraction,z_head_hidden,0.8571428571428571,0.75,0.28855119620127445,,6101,2905
sps:dust1_fraction,dust1_fraction,z_out,1.0,,0.0018868840677728205,,6101,2905
sps:dust1_fraction,dust1_fraction,mu_15,1.0,0.75,0.7085569977410212,,6101,2905
sps:dust1_fraction,dust1_fraction,log_spec,,0.875,-0.39320881608216585,,6101,2905
sps:dust1_fraction,dust1_fraction,m_ab_recon,,1.0,0.1465061884974087,,6101,2905
sps:dust_index,dust_index,x,0.0,0.0,0.8862859942057841,,6101,2905
sps:dust_index,dust_index,h0,0.14285714285714285,0.125,0.9796143471530847,,6101,2905
sps:dust_index,dust_index,h1_mid,0.2857142857142857,0.25,0.9714756975200192,,6101,2905
sps:dust_index,dust_index,h1,0.42857142857142855,0.375,0.9873685505685882,,6101,2905
